Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceResult
Main labor group,Male,Married,Master,Medical,Research Director,Very High,High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Male,Single,College,Life Sciences,Research Scientist,Very High,Very High,Best,Copper range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Research Scientist,Medium,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,College,Medical,Healthcare Representative,Medium,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Single,Master,Life Sciences,Laboratory Technician,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Laboratory Technician,Low,High,Good,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,Master,Medical,Sales Representative,Medium,Medium,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Single,Below College,Life Sciences,Research Scientist,Low,Low,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Married,Bachelor,Medical,Research Director,Medium,Low,Better,Gold range,Gold range,Needs Improvement
Main labor group,Female,Married,Bachelor,Life Sciences,Research Director,High,Low,Better,Gold range,Gold range,Exceed Expectation
Main labor group,Female,Divorced,College,Other,Sales Executive,Low,Medium,Good,Silver range,Copper range,Meet Expectation
Old labor group,Male,Divorced,Master,Life Sciences,Sales Representative,Low,Medium,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Research Scientist,Medium,High,Better,Silver range,Copper range,Needs Improvement
Young labor group,Male,Single,Below College,Medical,Sales Representative,High,Very High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Male,Married,Bachelor,Marketing,Sales Representative,Very High,Low,Good,Copper range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Sales Executive,Low,High,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Divorced,College,Life Sciences,Manufacturing Director,Very High,Medium,Better,Gold range,Copper range,Meet Expectation
Old labor group,Male,Divorced,Master,Life Sciences,Healthcare Representative,High,Low,Good,Gold range,Gold range,Exceed Expectation
Main labor group,Male,Married,Master,Medical,Research Scientist,Low,Medium,Best,Copper range,Copper range,Needs Improvement
Old labor group,Male,Married,College,Technical Degree,Laboratory Technician,Very High,Very High,Bad,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Female,Married,Master,Life Sciences,Manufacturing Director,Low,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Marketing,Sales Executive,Very High,Very High,Better,Silver range,Silver range,Exceed Expectation
Main labor group,Male,Divorced,Master,Marketing,Sales Executive,Very High,Low,Good,Gold range,Gold range,Exceed Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Life Sciences,Sales Executive,High,High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Technical Degree,Research Scientist,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Human Resources,High,High,Better,Silver range,no exps,Meet Expectation
Main labor group,Female,Married,College,Life Sciences,Sales Executive,Low,High,Better,Silver range,Silver range,Needs Improvement
Middle-aged labor group,Male,Divorced,Master,Life Sciences,Sales Executive,Medium,Very High,Better,Gold range,Copper range,Exceed Expectation
Main labor group,Female,Married,Master,Marketing,Sales Executive,Medium,Low,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Research Scientist,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Research Scientist,High,Very High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Medical,Research Scientist,High,Medium,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Research Scientist,High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Other,Research Scientist,Very High,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Medical,Research Scientist,Very High,Medium,Bad,Copper range,Copper range,Needs Improvement
Middle-aged labor group,Male,Divorced,Bachelor,Marketing,Sales Executive,Very High,Medium,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Marketing,Sales Executive,Medium,Low,Good,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Single,Bachelor,Medical,Manufacturing Director,Medium,Medium,Better,Silver range,Copper range,Needs Improvement
Main labor group,Female,Single,Bachelor,Other,Sales Representative,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Healthcare Representative,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Manufacturing Director,Medium,Medium,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Sales Executive,Very High,Very High,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Laboratory Technician,Medium,Low,Best,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,College,Life Sciences,Sales Executive,Medium,Low,Bad,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Below College,Medical,Developer,Low,Very High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Single,College,Life Sciences,Senior Developer,Very High,High,Good,Silver range,Silver range,Meet Expectation
Old labor group,Female,Married,Bachelor,Medical,Senior Developer,High,Low,Good,Gold range,no exps,Exceed Expectation
Main labor group,Male,Divorced,Below College,Life Sciences,Senior Developer,Very High,Medium,Better,Copper range,no exps,Exceed Expectation
Main labor group,Male,Married,Bachelor,Medical,Senior Developer,High,Medium,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,Low,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Below College,Life Sciences,Developer,Low,Very High,Good,Copper range,Copper range,Needs Improvement
Main labor group,Male,Divorced,College,Medical,Senior Developer,Medium,High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Single,Bachelor,Life Sciences,Developer,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Master,Life Sciences,Senior Developer,Medium,High,Better,Silver range,Silver range,Needs Improvement
Young labor group,Male,Divorced,College,Medical,Senior Developer,Very High,Medium,Good,Copper range,no exps,Meet Expectation
Old labor group,Female,Married,Master,Life Sciences,Manager,Low,High,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Single,Bachelor,Life Sciences,Developer,Very High,High,Better,Silver range,Copper range,Meet Expectation
Young labor group,Female,Divorced,College,Other,Developer,Low,Very High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Developer,Low,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Below College,Medical,Developer,Medium,High,Better,Silver range,Copper range,Meet Expectation
Old labor group,Female,Divorced,Bachelor,Other,Senior Developer,High,Very High,Good,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Single,Below College,Life Sciences,Senior Developer,Medium,Medium,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Marketing,Sales Executive,High,Very High,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Married,Master,Medical,Developer,Low,Very High,Better,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,Master,Marketing,Manager,Medium,Very High,Good,Diamond range,Copper range,Needs Improvement
Main labor group,Male,Single,Bachelor,Medical,Developer,High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Other,Technical Architect,Very High,Very High,Best,Silver range,Copper range,Meet Expectation
Young labor group,Male,Married,Bachelor,Medical,Developer,Medium,Low,Good,Silver range,no exps,Meet Expectation
Middle-aged labor group,Female,Divorced,College,Medical,Technical Architect,Very High,Very High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,College,Marketing,Sales Representative,Low,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Marketing,Sales Representative,Very High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Developer,Medium,Very High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Sales Executive,High,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Other,Developer,High,High,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Divorced,Master,Life Sciences,Technical Architect,Very High,Very High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Technical Architect,Low,High,Good,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Sales Executive,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,College,Medical,Developer,High,Very High,Better,Gold range,Silver range,Exceed Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,Medium,High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,College,Life Sciences,Developer,Medium,Low,Better,Silver range,no exps,Exceed Expectation
Middle-aged labor group,Male,Single,Master,Marketing,Sales Executive,Low,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Technical Architect,Very High,Very High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,College,Life Sciences,Developer,Low,Very High,Better,Diamond range,no exps,Meet Expectation
Main labor group,Male,Single,Master,Technical Degree,Technical Architect,High,High,Good,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Doctor,Marketing,Sales Executive,Medium,High,Good,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,College,Medical,Technical Architect,High,High,Better,Silver range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Marketing,Sales Executive,High,High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,College,Life Sciences,Developer,Low,High,Better,Gold range,Gold range,Needs Improvement
Main labor group,Male,Married,Doctor,Life Sciences,Sales Executive,Medium,Very High,Good,Silver range,Silver range,Needs Improvement
Main labor group,Female,Married,Master,Medical,Business Analyst,High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Life Sciences,Developer,Very High,Very High,Good,Silver range,Silver range,Exceed Expectation
Main labor group,Male,Divorced,Master,Life Sciences,Business Analyst,Low,High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,Low,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Doctor,Life Sciences,Developer,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,College,Medical,Developer,Medium,Very High,Good,Diamond range,Copper range,Meet Expectation
Old labor group,Female,Single,Bachelor,Life Sciences,Sales Executive,Low,Very High,Good,Diamond range,Gold range,Needs Improvement
Main labor group,Female,Divorced,Bachelor,Technical Degree,Business Analyst,High,Medium,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Business Analyst,Medium,High,Better,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Life Sciences,Business Analyst,Medium,High,Better,Diamond range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,Medium,Very High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,Very High,Low,Good,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Business Analyst,High,Very High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Single,Master,Medical,Business Analyst,High,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Developer,Medium,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Developer,Medium,Medium,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Developer,High,Very High,Better,Gold range,Silver range,Exceed Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,High,Medium,Better,Gold range,Gold range,Meet Expectation
Middle-aged labor group,Male,Divorced,College,Medical,Human Resources,Medium,Very High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Developer,Very High,High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Business Analyst,Medium,Low,Better,Silver range,Copper range,Meet Expectation
Old labor group,Male,Married,College,Life Sciences,Sales Executive,Low,Very High,Better,Diamond range,no exps,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Medical,Developer,Medium,Very High,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Married,College,Medical,Business Analyst,Low,High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Male,Divorced,Below College,Technical Degree,Sales Representative,High,High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Developer,High,Low,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,College,Medical,Sales Executive,High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Developer,High,Very High,Good,Diamond range,Copper range,Exceed Expectation
Old labor group,Male,Single,Master,Marketing,Sales Executive,High,Very High,Bad,Gold range,Silver range,Meet Expectation
Main labor group,Female,Divorced,College,Medical,Sales Executive,High,Medium,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Developer,High,High,Good,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Sales Executive,Medium,Low,Better,Gold range,Silver range,Needs Improvement
Young labor group,Female,Married,College,Other,Sales Executive,Low,Low,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Sales Executive,Medium,Medium,Best,Copper range,Copper range,Exceed Expectation
Old labor group,Male,Single,Master,Medical,Sales Executive,Very High,High,Good,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Developer,Medium,High,Best,Gold range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Human Resources,Human Resources,High,Very High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Single,Below College,Life Sciences,Developer,Very High,Very High,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Single,Master,Other,Developer,Low,High,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Business Analyst,High,Very High,Best,Gold range,no exps,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Business Analyst,Low,Low,Good,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Marketing,Sales Executive,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Business Analyst,Very High,High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Female,Single,Bachelor,Medical,Developer,Medium,High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Developer,Low,Very High,Better,Silver range,Silver range,Exceed Expectation
Old labor group,Female,Single,Bachelor,Human Resources,Manager,Very High,High,Better,Diamond range,Copper range,Meet Expectation
Young labor group,Male,Married,Below College,Life Sciences,Business Analyst,Medium,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Master,Life Sciences,Business Analyst,High,High,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Sales Executive,High,Low,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Business Analyst,High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Divorced,College,Life Sciences,Developer,Low,Low,Better,Silver range,no exps,Exceed Expectation
Middle-aged labor group,Male,Married,College,Life Sciences,Manager,High,Very High,Best,Diamond range,Gold range,Meet Expectation
Main labor group,Male,Married,College,Marketing,Sales Executive,High,Low,Best,Silver range,Silver range,Meet Expectation
Old labor group,Male,Single,Bachelor,Life Sciences,Developer,Low,High,Better,Diamond range,Gold range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,Medium,Medium,Good,Gold range,Silver range,Needs Improvement
Main labor group,Female,Married,Bachelor,Other,Developer,High,High,Good,Copper range,Copper range,Meet Expectation
Old labor group,Female,Married,Master,Medical,Developer,Very High,Very High,Good,Diamond range,Silver range,Meet Expectation
Young labor group,Male,Single,Below College,Marketing,Sales Representative,Very High,Very High,Good,no exps,no exps,Meet Expectation
Young labor group,Male,Married,Below College,Technical Degree,Developer,High,High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Master,Medical,Developer,High,High,Good,Gold range,Gold range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Medical,Developer,Medium,Very High,Better,Gold range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Marketing,Sales Executive,High,Very High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Sales Executive,Medium,High,Better,Copper range,Copper range,Needs Improvement
Middle-aged labor group,Male,Divorced,Below College,Life Sciences,Sales Executive,High,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,Below College,Life Sciences,Human Resources,High,Very High,Better,Silver range,Silver range,Exceed Expectation
Main labor group,Male,Divorced,College,Medical,Developer,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Old labor group,Male,Single,Master,Life Sciences,Business Analyst,Low,Very High,Better,Gold range,Copper range,Exceed Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Executive,Low,Very High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Bachelor,Human Resources,Human Resources,High,Very High,Bad,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Technical Lead,High,Medium,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Doctor,Technical Degree,Developer,Very High,Medium,Better,Gold range,Copper range,Exceed Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Developer,Low,High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Technical Degree,Developer,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Life Sciences,Developer,High,Very High,Better,Silver range,no exps,Exceed Expectation
Young labor group,Female,Single,Below College,Medical,Technical Lead,Medium,Very High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Doctor,Marketing,Sales Executive,High,Low,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Married,College,Marketing,Sales Representative,Medium,Very High,Bad,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Male,Divorced,Bachelor,Life Sciences,Developer,Medium,High,Bad,Gold range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Marketing,Sales Executive,Medium,Very High,Better,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,Below College,Technical Degree,Technical Lead,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Old labor group,Female,Married,Bachelor,Medical,Technical Lead,Medium,Medium,Good,Silver range,no exps,Exceed Expectation
Main labor group,Male,Married,Master,Marketing,Sales Executive,High,Low,Good,Gold range,Gold range,Meet Expectation
Main labor group,Female,Married,Master,Marketing,Sales Representative,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Developer,Very High,Very High,Bad,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,High,High,Bad,Copper range,Copper range,Meet Expectation
Old labor group,Male,Divorced,College,Life Sciences,Developer,High,Medium,Bad,Gold range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Technical Lead,High,Very High,Good,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Life Sciences,Technical Lead,High,Medium,Better,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Life Sciences,Developer,Low,Low,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Sales Executive,Medium,High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Single,Master,Life Sciences,Sales Executive,Low,High,Best,Gold range,Copper range,Exceed Expectation
Main labor group,Male,Single,Doctor,Life Sciences,Developer,High,Low,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Married,Bachelor,Technical Degree,Technical Lead,High,Very High,Good,Silver range,Copper range,Meet Expectation
Young labor group,Female,Single,Below College,Technical Degree,Sales Representative,High,Low,Best,Copper range,no exps,Exceed Expectation
Main labor group,Male,Single,College,Medical,Technical Lead,Very High,High,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Developer,High,High,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Female,Divorced,College,Life Sciences,Sales Executive,High,Low,Best,Silver range,Copper range,Meet Expectation
Old labor group,Female,Divorced,Bachelor,Life Sciences,Developer,High,High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Developer,High,Low,Best,Copper range,Copper range,Meet Expectation
Young labor group,Male,Single,Bachelor,Life Sciences,Developer,Medium,High,Good,Copper range,no exps,Exceed Expectation
Middle-aged labor group,Female,Divorced,College,Marketing,Sales Executive,Medium,High,Better,Diamond range,Gold range,Needs Improvement
Main labor group,Female,Single,College,Life Sciences,Technical Lead,High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,College,Medical,Developer,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,College,Marketing,Sales Representative,Medium,Very High,Good,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Developer,High,Very High,Good,Copper range,Copper range,Meet Expectation
Old labor group,Female,Divorced,College,Medical,Technical Lead,Very High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Developer,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,Below College,Medical,Developer,Very High,Medium,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Technical Lead,Very High,High,Good,Silver range,Silver range,Meet Expectation
Old labor group,Female,Single,Bachelor,Medical,Developer,Very High,High,Better,Diamond range,Silver range,Meet Expectation
Old labor group,Male,Married,Master,Life Sciences,Developer,High,Low,Better,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Developer,Very High,Very High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Developer,Medium,Low,Better,Silver range,no exps,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Medical,Technical Lead,Very High,Very High,Best,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,College,Medical,Technical Lead,Low,Very High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Developer,Medium,Low,Good,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Developer,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,College,Medical,Developer,High,Medium,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Technical Lead,Very High,Medium,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Technical Degree,Technical Lead,Very High,Low,Bad,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Technical Degree,Developer,High,High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Master,Life Sciences,Technical Lead,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Master,Medical,Developer,Very High,Very High,Best,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Medical,Developer,High,High,Best,Gold range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Technical Lead,Medium,Medium,Better,Gold range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Marketing,Sales Executive,Medium,Very High,Good,Silver range,Copper range,Needs Improvement
Young labor group,Male,Divorced,Bachelor,Life Sciences,Technical Lead,Very High,Low,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,Below College,Medical,Developer,Medium,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Doctor,Life Sciences,Technical Lead,Very High,Very High,Bad,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Medical,Sales Executive,Very High,High,Good,Gold range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Sales Executive,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Married,Master,Life Sciences,Data Scientist,Medium,Very High,Bad,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Life Sciences,Manager,Very High,High,Better,Gold range,no exps,Meet Expectation
Main labor group,Female,Single,Master,Marketing,Sales Executive,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Technical Degree,Developer,High,Very High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Medical,Sales Executive,Very High,Very High,Better,Diamond range,Silver range,Meet Expectation
Old labor group,Female,Married,Bachelor,Marketing,Sales Executive,Very High,Very High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Single,College,Life Sciences,Technical Lead,Very High,Very High,Best,Gold range,Gold range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Other,Developer,Medium,High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Medical,Developer,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Marketing,Sales Representative,Low,High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Married,Below College,Medical,Sales Executive,Medium,Very High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Single,Bachelor,Marketing,Sales Executive,High,Low,Best,Silver range,Silver range,Exceed Expectation
Main labor group,Male,Single,Below College,Medical,Developer,High,High,Good,Copper range,Copper range,Meet Expectation
Old labor group,Female,Single,Bachelor,Life Sciences,Technical Lead,High,Medium,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,College,Technical Degree,Developer,High,Very High,Better,Diamond range,Gold range,Meet Expectation
Old labor group,Male,Married,College,Medical,Human Resources,Medium,Very High,Good,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Female,Divorced,Master,Medical,Manager,Very High,High,Good,Diamond range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Developer,High,High,Bad,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Marketing,Manager,Very High,High,Better,Diamond range,Gold range,Exceed Expectation
Main labor group,Female,Married,College,Life Sciences,Developer,Low,Low,Best,Gold range,Silver range,Meet Expectation
Old labor group,Male,Single,Master,Life Sciences,Manager,Low,Very High,Best,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Single,Bachelor,Life Sciences,Developer,Very High,Very High,Bad,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Master,Medical,Data Scientist,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Marketing,Sales Executive,High,Low,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,College,Life Sciences,Data Scientist,High,Low,Good,Gold range,no exps,Meet Expectation
Main labor group,Male,Divorced,Master,Medical,Technical Lead,Medium,Low,Better,Silver range,Copper range,Needs Improvement
